Restaurant B,Shared_Voter_Count,Votes,Rank,Category A,Restaurant A,Category B
Zorch,116,229,1.0,BBQ,ZZQ,Pizza
Pizza Bones,64,124,2.0,BBQ,ZZQ,Pizza
8 ½ in The Fan,56,118,4.0,BBQ,ZZQ,Pizza
Belmont Pizza,48,120,3.0,BBQ,ZZQ,Pizza
Mary Angelas,38,94,6.0,BBQ,ZZQ,Pizza
TBT El Gallo,81,166,2.0,BBQ,ZZQ,Tacos
Dont Look Back,57,129,3.0,BBQ,ZZQ,Tacos
En Su Boca,55,111,4.0,BBQ,ZZQ,Tacos
Y Tu Mama,48,84,6.0,BBQ,ZZQ,Tacos
El Chido,46,98,5.0,BBQ,ZZQ,Tacos
Cobra Burger,172,317,1.0,BBQ,ZZQ,Burgers
Beauvine Burger Concept,78,180,2.0,BBQ,ZZQ,Burgers
Eazzy Burger,73,91,6.0,BBQ,ZZQ,Burgers
Smashed RVA,41,154,3.0,BBQ,ZZQ,Burgers
Cobra Cabana,34,110,4.0,BBQ,ZZQ,Burgers
Stanleys,90,158,2.0,BBQ,ZZQ,Sandwich
Garnetts,68,173,1.0,BBQ,ZZQ,Sandwich
Chioccas,58,126,4.0,BBQ,ZZQ,Sandwich
Secret Sandwich Society,58,120,5.0,BBQ,ZZQ,Sandwich
Perlys,51,115,6.0,BBQ,ZZQ,Sandwich
Lucky AF,141,268,1.0,BBQ,ZZQ,Sushi
Akida,95,196,2.0,BBQ,ZZQ,Sushi
Fighting Fish,57,126,3.0,BBQ,ZZQ,Sushi
Sumo San,29,55,8.0,BBQ,ZZQ,Sushi
Osaka Sushi and Steak,28,69,5.0,BBQ,ZZQ,Sushi
Goatocado,83,182,1.0,BBQ,ZZQ,Veg
821 Cafe,53,147,2.0,BBQ,ZZQ,Veg
Roots Natural Kitchen,48,119,3.0,BBQ,ZZQ,Veg
Nile Ethiopian,48,93,4.0,BBQ,ZZQ,Veg
Harrison Street Cafe,26,64,5.0,BBQ,ZZQ,Veg
Sabai,74,140,2.0,BBQ,ZZQ,Curry
Lemon Cuisine of India,69,183,1.0,BBQ,ZZQ,Curry
Tulsi Indian Cuisine,60,121,4.0,BBQ,ZZQ,Curry
Mekong,59,128,3.0,BBQ,ZZQ,Curry
Moms Siam,42,114,5.0,BBQ,ZZQ,Curry
Pho Tay Do,121,248,1.0,BBQ,ZZQ,Noodles
Mekong,96,210,2.0,BBQ,ZZQ,Noodles
Pho Luca,55,106,4.0,BBQ,ZZQ,Noodles
Pho Thein Phat / Pho So 1,49,125,3.0,BBQ,ZZQ,Noodles
Moms Siam,32,83,5.0,BBQ,ZZQ,Noodles
City Dogs,125,294,1.0,BBQ,ZZQ,Hot Dogs
Black Lodge,42,84,2.0,BBQ,ZZQ,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,38,77,4.0,BBQ,ZZQ,Hot Dogs
Horne Dogs,30,71,5.0,BBQ,ZZQ,Hot Dogs
Melitos,28,57,9.0,BBQ,ZZQ,Hot Dogs
Fat Dragon,96,209,1.0,BBQ,ZZQ,Fried Rice
Peter Chang Richmond,60,128,2.0,BBQ,ZZQ,Fried Rice
Mekong,42,89,3.0,BBQ,ZZQ,Fried Rice
Sabai,27,71,4.0,BBQ,ZZQ,Fried Rice
Full Kee,24,44,7.0,BBQ,ZZQ,Fried Rice
Moore Street Cafe,88,171,1.0,BBQ,ZZQ,Breakfast
Perlys,80,161,2.0,BBQ,ZZQ,Breakfast
Joes Inn the Fan,50,128,3.0,BBQ,ZZQ,Breakfast
SBs Main Street Love Shack,49,107,4.0,BBQ,ZZQ,Breakfast
Nates Bagels,31,67,6.0,BBQ,ZZQ,Breakfast
Garnetts,64,137,1.0,BBQ,ZZQ,Lunch
Joes Inn In The Fan,63,123,4.0,BBQ,ZZQ,Lunch
Union Market,59,135,2.0,BBQ,ZZQ,Lunch
Kuba Kuba,56,135,2.0,BBQ,ZZQ,Lunch
Coppolas Deli,39,83,5.0,BBQ,ZZQ,Lunch
LOpossum,76,130,2.0,BBQ,ZZQ,Date Night
Edos Squid,59,139,1.0,BBQ,ZZQ,Date Night
Stellas,49,124,3.0,BBQ,ZZQ,Date Night
Alewife,45,75,5.0,BBQ,ZZQ,Date Night
Grisette,42,80,4.0,BBQ,ZZQ,Date Night
Perlys,80,163,1.0,BBQ,ZZQ,Brunch
LUNCH.SUPPER!,54,131,2.0,BBQ,ZZQ,Brunch
Moore Street Cafe,47,83,4.0,BBQ,ZZQ,Brunch
SBs Main Street Love Shack,44,107,3.0,BBQ,ZZQ,Brunch
Millies Diner,36,83,4.0,BBQ,ZZQ,Brunch
Smashed RVA,79,190,1.0,BBQ,ZZQ,Food Truck
Intergalactic Tacos,52,95,4.0,BBQ,ZZQ,Food Truck
River City Wood Fire,48,133,3.0,BBQ,ZZQ,Food Truck
1115 (Eleven Fifteen),40,136,2.0,BBQ,ZZQ,Food Truck
Auntie Nings,29,84,5.0,BBQ,ZZQ,Food Truck
Blanchards,71,146,1.0,BBQ,ZZQ,Cafe
Sub Rosa,59,97,3.0,BBQ,ZZQ,Cafe
Lamplighter Coffee Roasters,53,109,2.0,BBQ,ZZQ,Cafe
Sugar and Twine,33,76,4.0,BBQ,ZZQ,Cafe
Stir Crazy Cafe,30,62,6.0,BBQ,ZZQ,Cafe
Belmont Pizza,10,120,3.0,BBQ,Smohk RVA BBQ,Pizza
Capriccios Italian Restaurant,9,14,21.0,BBQ,Smohk RVA BBQ,Pizza
Bottoms Up Pizza,8,45,10.0,BBQ,Smohk RVA BBQ,Pizza
8 ½ in The Fan,7,118,4.0,BBQ,Smohk RVA BBQ,Pizza
Pupatella,5,38,13.0,BBQ,Smohk RVA BBQ,Pizza
Cabo Fish Taco,12,184,1.0,BBQ,Smohk RVA BBQ,Tacos
Wong Gonzalez,11,67,7.0,BBQ,Smohk RVA BBQ,Tacos
Chicano Boy Taco,8,23,19.0,BBQ,Smohk RVA BBQ,Tacos
TBT El Gallo,6,166,2.0,BBQ,Smohk RVA BBQ,Tacos
En Su Boca,5,111,4.0,BBQ,Smohk RVA BBQ,Tacos
Boulevard Burger and Brew,13,110,4.0,BBQ,Smohk RVA BBQ,Burgers
The Franklin inn,10,26,10.0,BBQ,Smohk RVA BBQ,Burgers
Cobra Burger,9,317,1.0,BBQ,Smohk RVA BBQ,Burgers
Beauvine Burger Concept,7,180,2.0,BBQ,Smohk RVA BBQ,Burgers
Burger Bach,6,68,7.0,BBQ,Smohk RVA BBQ,Burgers
