index,name,address,phone,website,description
Belmont Pizza,Belmont Pizzeria,"602 N Belmont Ave, Richmond, VA 23221, United States",(804) 888-9861,https://belmontpizzeria.com/,"We recommend Belmont Pizza! Nestled in the vibrant neighborhood of the Museum District, Belmont Pizza is a hub for authentic New York-style pizza in the heart of Richmond, VA. This local favorite is renowned for its enormous, flavorful slices as well as other Italian classics like stromboli and calzones. Particularly famous is their Belmont Pizza Special, a kitchen sink-style pizza rife with meats and veggies. For a dinner visit, a taste of Belmont’s delights will typically run from $20 to $30 per pair, offering an affordable option for a delicious urban dining experience."
Mary Angelas,Mary Angela's Pizzeria,"3345 W Cary St, Richmond, VA 23221, United States",(804) 353-2333,https://maryangelaspizzatogo.com/,"We recommend Mary Angela's!
Situated in the notable Carytown neighborhood of Richmond, Mary Angela's is a top-notch destination for those seeking a satisfying Italian dining experience. The restaurant is known particularly for its selection of authentic Italian pizzas and sumptuous subs, mastering the art of simplicity, freshness, and flavor in every dish. Mary Angela's has carved themselves a niche in the Richmond food scene as a place that delivers comforting, delicious meals that keep locals coming back for more. The cost of a satisfying dinner here ranges from $20 to $30 per person."
Zorch,Zorch Pizza,"2923 W Cary St, Richmond, VA 23221, United States",(804) 562-0279,https://www.zorchpizza.com/,"We recommend Zorch! 
Situated in the vibrant Fan District of Richmond, Zorch shines brightly in RVA's thriving culinary galaxy. Zorch's menu is brilliantly crafted, featuring unique takes on pizza accompanied by an assortment of boutique beers that appeal to any palate. Don't miss out on their specialty pizzas – each one with a clever name, every bite bursting with flavor. For a unique taste experience, try their psycho chicken, a white pie with chicken, cilantro, and jalapenos. A dinner here should cost around $35 - $45 for two, delivering great value for its remarkable flavor experience."
Dont Look Back,Don't Look Back - Triple,"3306 W Broad St, Richmond, VA 23230, United States",(804) 655-2770,http://www.dontlookback.co/,"We recommend Don't Look Back!
Navigating through the vibrant realm of Richmond's food scene, Don't Look Back is tucked away in the heart of the Carytown neighborhood, offering its unique interpretation of a classic: Tacos. In this flavor-fueled joint, each taco is meticulously crafted, presenting ample opportunity for your taste buds to embark on a savory voyage. The simplicity of their menu - tacos, burritos, quesadillas - is their tour de force, making this eatery a local favorite with plenty to love. For a hearty dinner for two, it would land in the $25 - $35 price range."
TBT El Gallo,TBT El Gallo,"2118 W Cary St, Richmond, VA 23220, United States",(804) 918-0158,https://www.toasttab.com/tbt-el-gallo-2118-w-cary-st/v3/,"We recommend TBT El Gallo!
Marking its delicious presence in Richmond's vibrant neighborhood, Southside, TBT El Gallo serves an extensive variety of Mexican cuisine. Its specialties are a draw with locals and visitors alike for their authentic flavors and mouthwatering presentations. What sets TBT El Gallo apart from its contemporaries are their authentic dishes such as carne asada, enchiladas, and the crowd-favorite, margaritas. The epicurean experience comes at an affordable price point, with a dinner for two expecting to cost in the region of $20 - $30. Come for the food, stay for the fiesta!"
Pizza Bones,Pizza Bones RVA / FriendBar,"2314 Jefferson Ave, Richmond, VA 23223, United States",(804) 499-3090,http://www.pizzabonesrva.com/,"We recommend Pizza Bones!
Nestled in Richmond's vibrant neighborhood of Church Hill, Pizza Bones is an absolute haven for pizza lovers. Their enchanting take on pizza is known for masterful combinations of flavors and ingredients that would make any pizza traditionalist rethink their stance. Each pie offers a flavor complexity that can only be achieved by their commitment to using seasonal veggies, homemade vegan cheese, and naturally leavened bread. The Vegan Miso Spinach and the Sweet Gorgonzola are undoubted favorites. Dinner for two at Pizza Bones generally falls within the $30-$40 range, perfect for an excellent meal without breaking the bank."
8 ½ in The Fan,8 ½ in The Fan,"401 Strawberry St, Richmond, VA 23220, United States",(804) 358-8505,http://eightandahalfrva.com/,"We recommend 8 ½ in The Fan!
Perfectly nestled in Richmond's vibrant Fan District, 8 ½ is a hidden gem that never ceases to delight with its tantalizing Italian fare. Known for its charming, rustic aesthetic and exceptional service, this restaurant serves a variety of tantalizing options from perfectly cooked pasta to crispy pizza that's sure to melt in your mouth. Their menu rotates seasonally based on the freshest produce available, promising a unique culinary adventure every time. For a divine dinner experience, patrons can expect to invest about $35 - $50, making it an affordable and delightful gem in the heart of RVA."
En Su Boca,En Su Boca,"1001 N Arthur Ashe Blvd, Richmond, VA 23230, United States",(804) 359-0768,http://ensuboca.com/,"We recommend En Su Boca!
Nestled in the bustling Boulevard neighborhood of Richmond, En Su Boca offers a fabulous voyage into the vibrant flavors of Tex-Mex cuisine. This kitschy cantina is known city-wide for its tantalizing tacos, superb salsas, and bountiful burritos, each packed with the delightful zest of proud Mexican heritage. Relish in the charm and warmth of this southern eatery, where the prices are as inviting as the menu. A sumptuous dinner for two at En Su Boca can be enjoyed for a modest price range of $20 - $30."
Y Tu Mama,Y Tu Mamá | Mexican Food,"4910 Forest Hill Ave, Richmond, VA 23225, United States",(804) 533-6700,http://ytumama.com/,"We recommend Y Tu Mamá!
Located in the smack dab heart of the Bellevue neighborhood, Y Tu Mamá whips up some of the finest, authentic Mexican food Richmond has to offer. Known for their hand-made tortillas and wide-variety of taco options, this eatery is a must-visit for all those taco aficionados seeking a real taste of Mexico in VA. With the added bonus of their famous homemade guacamole and a selection of mouth-watering churros, Y Tu Mamá offers more than just your typical Mexican fare. As for the price range, for a dinner for two, you're likely to spend around $35 - $45."
El Chido,Taqueria Y Antojitos El Chido W Broad St,"4013 W Broad St, Richmond, VA 23230, United States",(804) 998-9520,Not found,"We recommend El Chido!
Located in the diverse and bustling neighborhood of Innsbrook, El Chido is diving deep into the heart of traditional Mexican cuisine. Specializing in classic, homemade specialities, El Chido delivers an exciting variety, from sizzling fajitas to flavorful enchiladas, sure to make a lasting impression on your tastebuds. Prepared from fresh ingredients, each dish captures the vibrant energy of Mexican culinary traditions. Dinner at this cheerful spot is affordably priced between $30 - $40 for two."
